100186216	14	15
100187070	3	18	19	2
100188634	12	2
100187070	2	4
100153339	14	6	22
99999999	2	11	9	6
100188634	19	13
100187070	2	9
99999999	8	1
100188634	2	20
100187070	12	2	23	7	8	20	4	15
100187427	2	13
99999999	2	13
100186216	2	1
99999999	24	22
100187070	3	23
99999999	12	9
100187070	3	18	9
100187070	9	6
100187070	2	11
99999999	7	4
100187070	16	2
100187070	18	2
100186216	8	4	15	9
100187070	12	15
100187070	19	9
99999999	2	14	8
100187070	2	11
100186216	14	15
100187070	13	7	4	9
100188634	2	22
100187070	2	14	8
100187070	8	9
100187070	2	8
100187070	3	2	23	6
99999999	16	22
99999999	12	9
100187070	18	10	6
99999999	2	20	6
100187070	2	14	15
100187070	2	8	1
100188634	2	8	4
100187070	3	2
99999999	2	20
100187070	12	2
100187070	9	6
100187070	3	20
100187070	2	1	15
100186216	8	1	4	15
99999999	12	15
100187070	16	12	2	9
100187070	13	10	11	8
100187070	3	10	11	9	6
100187070	12	4
100187070	2	20	4
100187070	2	14
99999999	18	16	12	2	13	10	23	14	8	1	4	15
99999999	2	20
100187070	3	18	2	6	22
100187070	2	23
100187070	8	1
99999999	23	11
100187070	12	1	4	15	9
100187070	12	2	20	4	9
100187070	2	14	4
99999999	19	2	13
99999999	11	6
99999999	18	24	12	2	4
100000191	3	18
99999999	23	11
100186216	14	15	22
100186216	3	12	14	15
99999999	2	1
99999999	23	20
100187070	2	23
100187070	23	20	9	6
99999999	1	4	9
100187070	2	13
100187070	2	14
99999999	19	16
99999999	12	13
99999999	2	8	4
100187768	2	6
100187070	8	1
100187070	17	8	9
99999999	18	8	6	5
100187070	16	20
99999999	4	9
99999999	24	12	2	10	20
100187070	12	8	1
99999999	12	2	4
100187070	2	4
100186216	14	8	4
100187070	24	9	6	5
100188634	8	9
100187070	2	1
100187070	11	6
100188634	2	8	15
99999999	4	6
100187070	14	8
100188045	25	4	6
100187070	7	8
100000191	2	14
100187070	12	2	15
100187070	19	2
99999999	2	23
100187070	2	4
99999999	19	24	14	20	6	22
99999999	9	6
100187070	3	18	23	4	9
