id	name
71254	Spycker
71255	Watten
71257	Arnèke
71258	Bavinchove
71259	Buysscheure
71260	Cassel
71261	Hardifort
71262	Noordpeene
71264	Oxelaëre
71266	Sainte-Marie-Cappel
71269	Zuytpeene
71270	Coudekerque-Branche
71271	Coudekerque-Village
71272	Bray-Dunes
71273	Leffrinckoucke
71274	Téteghem
71276	Zuydcoote
71277	Cappelle-la-Grande
71278	Dunkerque
71279	Grande-Synthe
71281	Grand-Fort-Philippe
71282	Gravelines
71283	Loon-Plage
71284	Saint-Georges-sur-l'Aa
71285	Blaringhem
71287	Ebblinghem
71288	Hondeghem
71289	Lynde
71290	Renescure
71291	Sercus
71292	Staple
71295	Borre
71296	Morbecque
71298	Steenbecque
71301	Hazebrouck
71302	Bambecque
71303	Ghyvelde
71304	Hondschoote
71309	Warhem
71310	Estaires
71311	Haverskerque
71312	La Gorgue
71314	Merville
71316	Boeschepe
71317	Eecke
71318	Godewaersvelde
71319	Houtkerque
71320	Oudezeele
71321	Saint-Sylvestre-Cappel
71322	Steenvoorde
71323	Terdeghem
71324	Winnezeele
71325	Bollezeele
71327	Esquelbecq
71328	Herzeele
71330	Ledringhem
71332	Nieurlet
71333	Volckerinckhove
71334	Wormhout
71336	Armentières
71337	Bois-Grenier
71338	Capinghem
71339	Erquinghem-Lys
71340	Frelinghien
71341	Houplines
71342	La Chapelle-d'Armentières
71346	Bouvines
71348	Cappelle-en-Pévèle
71350	Cysoing
71351	Genech
71353	Mouchin
71354	Péronne-en-Mélantois
71355	Sainghin-en-Mélantois
71356	Templeuve
71358	Emmerin
71359	Haubourdin
71360	Loos
71361	Santes
71362	Wavrin
71363	Aubers
71364	Fournes-en-Weppes
71365	Fromelles
71367	Herlies
71368	Illies
71369	La Bassée
71370	Marquillies
71371	Sainghin-en-Weppes
71372	Salomé
71375	Baisieux
71376	Chéreng
71377	Forest-sur-Marque
71378	Gruson
71379	Hem
71380	Lannoy
71381	Leers
71382	Lys-lez-Lannoy
71383	Sailly-lez-Lannoy
71384	Toufflers
71385	Tressin
71386	Willems
71387	Mons-en-Barœul
71388	La Madeleine
71389	Lambersart
71390	Marquette-lez-Lille
71391	Saint-André-lez-Lille
71392	Wambrechies
71393	Faches-Thumesnil
71394	Lezennes
71395	Ronchin
71396	Lille
71397	Beaucamps-Ligny
71398	Englos
71399	Ennetières-en-Weppes
71402	Hallennes-lez-Haubourdin
71403	Le Maisnil
71406	Bondues
71407	Marcq-en-Barœul
71408	Attiches
71409	Avelin
71410	Bersée
71411	Ennevelin
71412	Fretin
71413	La Neuville
71414	Mérignies
71416	Mons-en-Pévèle
71418	Phalempin
71419	Pont-à-Marcq
71420	Thumeries
71422	Wahagnies
71423	Comines
71424	Deûlémont
71425	Lompret
71426	Pérenchies
71427	Quesnoy-sur-Deûle
71428	Verlinghem
71430	Wervicq-Sud
71431	Croix
71432	Wasquehal
71433	Roubaix
71434	Houplin-Ancoisne
71435	Lesquin
71437	Templemars
71438	Vendeville
71439	Wattignies
71440	Allennes-les-Marais
71441	Annœullin
71442	Bauvin
71447	Gondecourt
71450	Seclin
71451	Neuville-en-Ferrain
71452	Bousbecque
71453	Halluin
71454	Linselles
71455	Roncq
71456	Mouvaux
71457	Tourcoing
71458	Villeneuve-d'Ascq
71459	Wattrelos
71460	Anzin
71463	Saint-Saulve
71465	Bouchain
71467	Haspres
71468	Hordain
71477	Wavrechain-sous-Faulx
71478	Condé-sur-l'Escaut
71479	Crespin
71481	Fresnes-sur-Escaut
71482	Hergnies
71485	Thivencelle
71487	Vieux-Condé
71489	Denain
71490	Douchy-les-Mines
71492	Haveluy
71493	Hélesmes
71495	Bruille-Saint-Amand
71498	Hasnon
71499	Mortagne-du-Nord
71500	Raismes
71507	Rosult
71508	Rumegies
71511	Saint-Amand-les-Eaux
71512	Curgies
71514	Marly
71515	Onnaing
71517	Quarouble
71518	Quiévrechain
71519	Rombies-et-Marchipont
71521	Sebourg
71522	Aubry-du-Hainaut
71523	Bellaing
71524	Petite-Forêt
71525	Wallers
71526	Artres
71527	Aulnoy-lez-Valenciennes
71529	Haulchin
71530	Hérin
71531	La Sentinelle
71535	Prouvy
71537	Rouvignies
71538	Thiant
71539	Trith-Saint-Léger
71541	Valenciennes
71542	Auneuil
71543	Auteuil
71545	Berneuil-en-Bray
71548	La Houssoye
71554	Rainvillers
71556	Saint-Léger-en-Bray
71557	Saint-Paul
71558	Troussures
71565	Savignies
71566	Allonne
71568	Goincourt
71570	Beauvais
71575	Boury-en-Vexin
71578	Chaumont-en-Vexin
71579	Courcelles-lès-Gisors
71586	Fresne-Léguillon
71593	Lierville
71601	Serans
71604	Trie-Château
71614	Crèvecœur-le-Grand
71636	Formerie
71645	Quincampoix-Fleuzy
71659	Grandvilliers
71688	Saint-Germer-de-Fly
71690	Sérifontaine
71698	Hétomesnil
71702	Marseille-en-Beauvaisis
71703	Milly-sur-Thérain
71709	Saint-Omer-en-Chaussée
71713	Anserville
71714	Bornel
71717	Esches
71718	Fosseuse
71721	Ivry-le-Temple
71722	Lormaison
71723	Méru
71724	Montherlant
71726	Neuville-Bosc
71729	Saint-Crépin-Ibouvillers
71730	Villeneuve-les-Sablons
71733	Bresles
71747	Tillé
71748	Troissereux
71753	Cauvigny
71764	Noailles
71768	Sainte-Geneviève
71770	Villers-Saint-Sépulcre
71771	Warluis
71774	Crillon
71778	Gerberoy
71805	Breteuil
71814	Paillart
71819	Tartigny
71823	Agnetz
71825	Avrechy
71828	Blincourt
71830	Breuil-le-Vert
71833	Clermont
71836	Étouy
71837	Fitz-James
71850	Froissy
71867	Brenouille
71873	Les Ageux
71874	Liancourt
71875	Mogneville
71879	Rantigny
71882	Sacy-le-Grand
71898	Méry-la-Bataille
71902	Saint-Martin-aux-Bois
71910	Heilles
71912	Mouy
71915	Saint-Félix
71942	Saint-Just-en-Chaussée
